Business Legal Name,City,zipcode,Race or Ethnicity,Gender,Race Adjusted,Ethnicity Adjusted,Top City,Chicago Region,Illinois Region
Compound Yellow,Oak Park,60302,I decline to answer,Female,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
Academy of Movement and Music,Oak Park,60302,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Children's Museum of Oak Park,Oak Park,60302,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Christine Steyer,Oak Park,60302,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
concatenation,Oak Park,60302,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Ekonomisk Mgmt LLC,Oak Park,60302,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Ernest Hemingway Foundation of Oak Park,Oak Park,60302,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"Handel Week, Inc.",Oak Park,60302,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Jeffrey D. Kmiec,Oak Park,60302,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Joey Tesch,Oak Park,60302,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"MOMENTA, Inc.",Oak Park,60302,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Oak Park String Academy,Oak Park,60302,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Parlier Productions INC,Oak Park,60302,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Spectrum Choral Society d/b/a Heritage Chorale,Oak Park,60302,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Winifred Haun & Dancers,Oak Park,60302,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Asian Improv aRts Midwest,Oak Park,60304,Asian American,Male,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
Chicago Wig Makers,Oak Park,60304,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Norvell's Photography,Oak Park,60304,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Morgen Hare,Oak Park,60304,Black or African American Middle Eastern or North African (MENA)/Arab American White Multiple Races,Female,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
"I See Music, LLC",Beecher,60401,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Balazs,Berwyn,60402,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Daniel A. Leali,Berwyn,60402,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Dreamour Co,Berwyn,60402,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Noteworthy Art Lab LLC,Berwyn,60402,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Expressive Arts Services LLC,Blue Island,60406,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
London Bridges Nurturing Development Day Care,Calumet City,60409,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Porter Candle Co.,Calumet City,60409,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Technotrix Inc,Calumet City,60409,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Union Street Gallery,Chicago Heights,60411,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Ahmad denah,Chicago Ridge,60415,Middle Eastern or North African (MENA)/Arab American White,Male,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
FUAD SALEM,Chicago Ridge,60415,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Art of Creation LLC,Flossmoor,60422,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Three Twenty Three Music Group Inc,Flossmoor,60422,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
ICEMILE LLC,Frankfort,60423,Middle Eastern or North African (MENA)/Arab American,Female,Middle Eastern or North African (MENA)/Arab American,,z_Not a Top City,Not Chicago,Chicagoland
"Step up to the plate, play indoor baseball, nfp.",Frankfort,60423,American Indian/Native American or Alaska Native Black or African American Asian American,Male,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
AHMED WARNI,Frankfort,60423,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Emagine Frankfort LLC,Frankfort,60423,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Abiola Arts Studio Inc,Glenwood,60425,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Hawkins Broadcasting Company,Glenwood,60425,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Ms Tiff Enterprise LLC,Dixmoor,60426,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Mario Abney,Harvey,60426,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Perskription Entertainment LLC,Harvey,60426,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
the fragrance house,Harvey,60426,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Anthony Mcmiller,Harvey,60426,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Got Melodyz,Markham,60428,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Thomas Consortium,East Hazel Crest,60429,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Agape Services Staffing/Business & Community Development LLC,Hazel Crest,60429,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
JOHN F WHITE,Hazel Crest,60429,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
WHIP IT SIP IT AND PAINT CORP.,Hazel Crest,60429,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
"Culture Food and Entertainment Group, Inc.",Homewood,60430,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
MyPeeps Music Group LLP,Homewood,60430,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Undiscovrd,Homewood,60430,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
"The ScribbleBooks Company, Inc.",Homewood,60430,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Tonya Battles,Joliet,60431,Black or African American,Female,Black or African American,,Joliet,Not Chicago,Chicagoland
After the Peanut Foundation,Joliet,60432,Black or African American,Female,Black or African American,,Joliet,Not Chicago,Chicagoland
Diane Marie Harris,Joliet,60432,Black or African American,Female,Black or African American,,Joliet,Not Chicago,Chicagoland
"Leap of Faith Ministries, NFP",Joliet,60433,Black or African American,Female,Black or African American,,Joliet,Not Chicago,Chicagoland
"Victorian Manor, Inc.",Joliet,60433,White,Female,White,,Joliet,Not Chicago,Chicagoland
Wayne mcnair photography,Joliet,60435,Black or African American,Male,Black or African American,,Joliet,Not Chicago,Chicagoland
"Momentum Dance Studio, Ltd",Joliet,60435,White,Female,White,,Joliet,Not Chicago,Chicagoland
RME Audio Video Inc,Joliet,60435,White,Male,White,,Joliet,Not Chicago,Chicagoland
"1st Lady Bling Things, LLC",Joliet,60436,Black or African American,Female,Black or African American,,Joliet,Not Chicago,Chicagoland
"2 Cold 2 Hold, LLC",Lansing,60438,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
DARIUS SVABAITIS SOLE PROPRIETORSHIP,Lemont,60439,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Lemont Area Historical Society Inc,Lemont,60439,White,I decline to answer,White,,z_Not a Top City,Not Chicago,Chicagoland
Wendy Schreier Photography,Lemont,60439,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
CG's Comedy Club LLC,Bolingbrook,60440,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,Bolingbrook,Not Chicago,Chicagoland
Robert Ryan,Lockport,60441,I decline to answer,I decline to answer,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
18 Jayvir LLC,Lockport,60441,Not Listed,Male,Not Listed,,z_Not a Top City,Not Chicago,Chicagoland
Kokandy Productions,Lockport,60441,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
A Trio of Creations,Matteson,60443,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
International Foundations Education Inc,Matteson,60443,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Jeremy E. Allen,Matteson,60443,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Melanie L. Brown,Matteson,60443,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
"Starlight Entertainment & Productions, Inc.",Matteson,60443,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
GREENEVILLE'S VENUE,Midlothian,60445,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Metal Monkey Brewing LLC,Romeoville,60446,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
WHIP IT LUXURY EVENTS VENUE,Mokena,60448,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Curtain Call Community Theatre,Mokena,60448,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Chasity Drake,Monee,60449,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
FARAH DEIFALLAH,Oak Forest,60452,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
YAHIA DEIFALLAH,Oak Forest,60452,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"Spanish Acueducto, LLC",Oak Forest,60452,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
Silencer Athletics LLC,Oak Lawn,60453,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
SERAJEDDIN FALNEH,Oak Lawn,60453,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Christopher Kang,Justice,60458,Asian American,Male,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
Caricatures by Mary Ellen,Burbank,60459,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
MOHAMMED GHUNAIM,Burbank,60459,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Art and Company LLC,Orland Park,60462,I decline to answer,I decline to answer,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
Samo Altaher,Orland Park,60462,Middle Eastern or North African (MENA)/Arab American,Male,Middle Eastern or North African (MENA)/Arab American,,z_Not a Top City,Not Chicago,Chicagoland
Beverly Theatre Guild,Orland Park,60462,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"Bridge Teen Center, NFP",Orland Park,60462,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"Full Service Music, Inc.",Orland Park,60462,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
jennifer franklin,Orland Park,60462,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
McCord House NFP,Palos Park,60464,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Shantina Lowe,Park Forest,60466,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Theater 47 LLC,Park Forest,60466,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Illinois Philharmonic Orchestra,Park Forest,60466,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"Kingdom Records, Inc.",Orland Park,60467,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
"DS Production, LLC",Orland Park,60467,Middle Eastern or North African (MENA)/Arab American,Male,Middle Eastern or North African (MENA)/Arab American,,z_Not a Top City,Not Chicago,Chicagoland
Diva Me Bella LLC,Peotone,60468,Multiple Races,Female,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
Music Craftyrz,South Holland,60473,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Options for Literacy Inc,South Holland,60473,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
South Holland Master Chorale,South Holland,60473,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
urbanite LLC,South Holland,60473,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
urbanite LLC,South Holland,60473,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Mucci World Management inc,Tinley Park,60477,Multiple Races Hispanic or Latino/a/x Black or African American,Female,Multiracial,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
Kelly Reyes Events LLC,Tinley Park,60477,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Yolandadoeshair,Country Club Hills,60478,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
"Dark Water, Inc",Willow Springs,60480,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
YOUSEF GUNAID,Worth,60482,Middle Eastern or North African (MENA)/Arab American,Male,Middle Eastern or North African (MENA)/Arab American,,z_Not a Top City,Not Chicago,Chicagoland
JAYS LIMO SERVICE,Worth,60482,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
JEHAD ALQUDAH,Worth,60482,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
BernettaCreations LLC,Bolingbrook,60490,I decline to answer,Female,I decline to answer,,Bolingbrook,Not Chicago,Chicagoland
Visi Studio Corp,Bolingbrook,60490,White,Female,White,,Bolingbrook,Not Chicago,Chicagoland
Aryom LLC,Aurora,60502,I decline to answer,Female,I decline to answer,,Aurora,Not Chicago,Chicagoland
Noel Streacker,Aurora,60504,Hispanic or Latino/a/x White,Male,White,Hispanic or Latino/a/x,Aurora,Not Chicago,Chicagoland
Catherine Hummel,Aurora,60505,White,Female,White,,Aurora,Not Chicago,Chicagoland
Fox Valley Music Foundation,Aurora,60505,White,Female,White,,Aurora,Not Chicago,Chicagoland
Corey Strode,Aurora,60505,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,Aurora,Not Chicago,Chicagoland
Company 251,Aurora,60506,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,Aurora,Not Chicago,Chicagoland
Batavia Artists Association NFP Inc.,Batavia,60510,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Samantha Novosedlik,Batavia,60510,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
DANIELE SAUNDERS PHOTOGRAPHY LLC,Batavia,60510,White Hispanic or Latino/a/x,Female,White,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
"Brookfield Academy for Mini Musicians, LLC",Brookfield,60513,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Jason W. Kaumeyer,Brookfield,60513,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Neal Alger,Brookfield,60513,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"Patrick Williams, Inc.",Brookfield,60513,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Scott D Anderson,Clarendon Hills,60514,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"Stage Door Fine Arts, LTD.",Clarendon Hills,60514,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Al Rafay Consulting LLC,Downers Grove,60515,Asian American,Male,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
Gosz & Fotos LLC,Downers Grove,60515,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"Tivoli Enterprises, Inc.",Downers Grove,60515,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Ghostlight Educational Theatre Collective,Downers Grove,60515,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
Blue Diamond Athletic Displays,Downers Grove,60516,Multiple Races,Female,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
Diva le Dance,Downers Grove,60516,Black or African American Multiple Races White,Female,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
Erin Christine Walsh,Downers Grove,60516,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Kyle Miller,Downers Grove,60516,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Senior Suburban Orchestra,Woodridge,60517,White,I decline to answer,White,,z_Not a Top City,Not Chicago,Chicagoland
The Midwest Clinic,Woodridge,60517,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"Medical and Safety Engineering, Inc.",Oak Brook,60523,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Spirito! Singers,Oak Brook,60523,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Art Studio 928 LLC,La Grange,60525,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
La Grange Art League,La Grange,60525,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
LeFaivre Limited,La Grange,60525,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Marlene Rosenberg,La Grange,60525,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Joy Entertainment & Event Management LLC,Burr Ridge,60527,American Indian/Native American or Alaska Native,Female,American Indian/Native American or Alaska Native,,z_Not a Top City,Not Chicago,Chicagoland
ClaySpace NFP,Lisle,60532,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"Golden Ticket Productions, Inc.",Lisle,60532,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Chris Forte,Naperville,60540,White,Male,White,,Naperville,Not Chicago,Chicagoland
DuPage Children's Museum,Naperville,60540,White,Female,White,,Naperville,Not Chicago,Chicagoland
Fair Lady Productions Inc.,Naperville,60540,White,Female,White,,Naperville,Not Chicago,Chicagoland
"Two Painted Ladies, LLC",Naperville,60540,White,Female,White,,Naperville,Not Chicago,Chicagoland
Young Naperville Singers,Naperville,60540,White,Female,White,,Naperville,Not Chicago,Chicagoland
CODE NINJAS,Plainfield,60544,Asian American,Female,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
Clarendon Hills Music Academy,Plainfield,60544,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Lisa's Face Painting and Balloons LLC,Plainfield,60544,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Steven E Schnall,Plainfield,60544,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"Skill Scout, Inc.",Riverside,60546,Asian American Multiple Races,Female,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
Andrew Vogt,Riverside,60546,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Bobby Schiff Music,Riverside,60546,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Frame Doctor,Riverside,60546,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Core Design Group LLC,Warrenville,60555,I decline to answer,I decline to answer,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
Daniel Mark Milligan,Warrenville,60555,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
21st Century Work Stategies,Westmont,60559,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Musicians Workshop LLC,Westmont,60559,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"The Academy of Music and Art, Inc.",Westmont,60559,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Michael Benning,Darien,60561,I decline to answer,I decline to answer,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
Chicagoland Suburban Chpt SPEBSQSA,Darien,60561,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Event Hall Inc,Naperville,60563,Not Listed,Female,Not Listed,,Naperville,Not Chicago,Chicagoland
After Hours Film Society,Naperville,60563,White,Female,White,,Naperville,Not Chicago,Chicagoland
Press Photography Network Inc,Naperville,60564,Black or African American,Male,Black or African American,,Naperville,Not Chicago,Chicagoland
Dupage Chapter of the Society for the Advancement and Encouragement of Barbershop Quartet Singing America DuPage Chapter,Naperville,60565,White,Male,White,,Naperville,Not Chicago,Chicagoland
Multi-Channle-Inc,Naperville,60565,White,Male,White,,Naperville,Not Chicago,Chicagoland
Thompson Springs LLC,Naperville,60565,White,Male,White,,Naperville,Not Chicago,Chicagoland
"David Wilner Productions, Inc.",Naperville,60567,White,Male,White,,Naperville,Not Chicago,Chicagoland
SUDA International LLP,Plainfield,60585,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
"Ilic Enterprises, LLC",Plainfield,60585,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Terry R Abma,Plainfield,60585,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Ever Fluorescent,Plainfield,60586,Hispanic or Latino/a/x White,Female,White,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
Iconic Images,Plainfield,60586,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Ralphi Rosario Inc.,Norridge,60706,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
John Sturk LLC,Chicago,60707,American Indian/Native American or Alaska Native White,Male,Multiracial,,Chicago,Not Chicago,Chicagoland
Sweet Yehi,Chicago,60707,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,Chicago,Not Chicago,Chicagoland
MG Enterprises,Elmwood Park,60707,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
MG Enterprises,Elmwood Park,60707,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
May I Have This Dance Inc,Lincolnwood,60712,Multiple Races,Nonbinary,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
Hood Genius Solutions,Alsip,60803,Black or African American Multiple Races American Indian/Native American or Alaska Native,Male,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
Alexander Austin,Cicero,60804,White,Male,White,,Cicero,Not Chicago,Chicagoland
Cindy's Corner of the World LLC,Evergreen Park,60805,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
SMC SERVICES,Evergreen Park,60805,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Power House Athletics of Illinois/Midwest Extreme All Stars,Evergreen Park,60805,Black or African American Multiple Races,Female,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
DARYL MCKINNEY,Calumet Park,60827,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Richard Perez,Marseilles,61341,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
Adagio School of Performing Arts Inc,Ottawa,61350,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Here and Again Inc,Ottawa,61350,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Jeffrey Cook,Ottawa,61350,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Midwest Bluegrass,Ottawa,61350,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Starved Rock Hot Glass,Ottawa,61350,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Summer House Entertainment Inc,Ottawa,61350,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
The Reddick Mansion Association,Ottawa,61350,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"Community Players of Streator, Inc.",Streator,61364,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Sue's Hallmark,Chicago,60601,Asian American,Male,Asian American,,Chicago,Downtown,City of Chicago
KTAF LLC,Chicago,60601,Black or African American,Female,Black or African American,,Chicago,Downtown,City of Chicago
Revoc Productions LLC,Chicago,60601,Black or African American,Female,Black or African American,,Chicago,Downtown,City of Chicago
Gilloury Institute,Chicago,60601,Middle Eastern or North African (MENA)/Arab American,Male,Middle Eastern or North African (MENA)/Arab American,,Chicago,Downtown,City of Chicago
Grant Park Orchestral Association,Chicago,60601,White,Male,White,,Chicago,Downtown,City of Chicago
"Music and Dance Theater Chicago, Inc",Chicago,60601,White,Female,White,,Chicago,Downtown,City of Chicago
Randolph Entertainment LLC,Chicago,60601,White,Male,White,,Chicago,Downtown,City of Chicago
AUSTIN SULLIVAN,Chicago,60602,White,Male,White,,Chicago,Downtown,City of Chicago
Kobotech Inc.,Chicago,60603,Asian American,Male,Asian American,,Chicago,Downtown,City of Chicago
ELITEMIND Management LLC.,Chicago,60603,Black or African American,Male,Black or African American,,Chicago,Downtown,City of Chicago
Cashcow Entertainment Group,Chicago,60603,American Indian/Native American or Alaska Native Black or African American,Male,Multiracial,,Chicago,Downtown,City of Chicago
Klearfullscale Entertainment LLC,Chicago,60604,Black or African American,Male,Black or African American,,Chicago,Downtown,City of Chicago
Chi Para Media Corp,Chicago,60604,Black or African American Asian American,Nonbinary,Multiracial,,Chicago,Downtown,City of Chicago
Chicago Symphony Orchestra Association,Chicago,60604,White,Male,White,,Chicago,Downtown,City of Chicago
Frank Lloyd Wright Trust,Chicago,60604,White,Female,White,,Chicago,Downtown,City of Chicago
Luminarts Cultural Foundation,Chicago,60604,White,Male,White,,Chicago,Downtown,City of Chicago
MANDALA SOUTH ASIAN PERFORMING ARTS INC,Chicago,60605,Asian American,Male,Asian American,,Chicago,Near South,City of Chicago
Natya Dance Theatre,Chicago,60605,Asian American,Female,Asian American,,Chicago,Near South,City of Chicago
Chicago Multicultural Dance Center,Chicago,60605,Black or African American,Female,Black or African American,,Chicago,Near South,City of Chicago
Curtis Bannister,Chicago,60605,Black or African American,Male,Black or African American,,Chicago,Near South,City of Chicago
La Design Co.,Chicago,60605,Black or African American,Male,Black or African American,,Chicago,Near South,City of Chicago
A&A BALLET Center for Dance,Chicago,60605,I decline to answer,I decline to answer,I decline to answer,,Chicago,Near South,City of Chicago
Adler Planetarium,Chicago,60605,I decline to answer,Female,I decline to answer,,Chicago,Near South,City of Chicago
Gaudete Brass LLC,Chicago,60605,I decline to answer,I decline to answer,I decline to answer,,Chicago,Near South,City of Chicago
The Jazz Showcase,Chicago,60605,Multiple Races,Male,Multiracial,,Chicago,Near South,City of Chicago
Nora R Williams,Chicago,60605,American Indian/Native American or Alaska Native Black or African American White Multiple Races,Female,Multiracial,,Chicago,Near South,City of Chicago
Martin's International Foundation,Chicago,60605,Black or African American Multiple Races Middle Eastern or North African (MENA)/Arab American,Male,Multiracial,,Chicago,Near South,City of Chicago
Carolyn Brady Music,Chicago,60605,White,Female,White,,Chicago,Near South,City of Chicago
Chicago Youth Symphony Orchestras,Chicago,60605,White,Female,White,,Chicago,Near South,City of Chicago
Davin Youngs Voice Inc.,Chicago,60605,White,Male,White,,Chicago,Near South,City of Chicago
International Latino Cultural Center of Chicago,Chicago,60605,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,Chicago,Near South,City of Chicago
"Artists Management of Illinois, Inc.",Chicago,60606,White,Male,White,,Chicago,Downtown,City of Chicago
Classical Music Chicago,Chicago,60606,White,Male,White,,Chicago,Downtown,City of Chicago
Lyric Opera of Chicago,Chicago,60606,White,Male,White,,Chicago,Downtown,City of Chicago
Chicago International Film Festival Inc. Cinema-Chicago,Chicago,60607,Asian American,Female,Asian American,,Chicago,Near West,City of Chicago
Nebula Creatives L3C,Chicago,60607,Asian American,Female,Asian American,,Chicago,Near West,City of Chicago
K'Valentine,Chicago,60607,Black or African American,Female,Black or African American,,Chicago,Near West,City of Chicago
"Refuge Live, LLC",Chicago,60607,Black or African American,Male,Black or African American,,Chicago,Near West,City of Chicago
Chicago Chamber Choir,Chicago,60607,I decline to answer,Female,I decline to answer,,Chicago,Near West,City of Chicago
direction promo inc.,Chicago,60607,I decline to answer,I decline to answer,I decline to answer,,Chicago,Near West,City of Chicago
Adam Fane,Chicago,60607,White,Male,White,,Chicago,Near West,City of Chicago
